Event Category,,Product ID,Product Price,"{""Time""",UserUUID,a_attendance_count,a_user_name,a_user_stage,b.diamond,b.ruby,boxAllCount,curserver,iap_platform,install_day,total_payment_amount,user_rank
Order Complete (App),,ruby_4,33000,2025-09-30 23:59,fcd1fcf0-9b29-11f0-97ef-7d147c3f8260,4,뻐꾹,121,25936,220,3300,1,GooglePlay,2025-09-26,40700,3191
Order Complete (App),,ruby_3,11000,2025-09-30 23:59,69696210-9c31-11f0-bf29-c3eb6dc5395b,3,하뚜르,123,1707,0,2410,1,GooglePlay,2025-09-28,7700,3178
Order Complete (App),,ruby_4,33000,2025-09-30 23:41,fcd1fcf0-9b29-11f0-97ef-7d147c3f8260,4,뻐꾹,119,1661,0,2460,1,GooglePlay,2025-09-26,7700,3191
Order Complete (App),,ruby_3,11000,2025-09-30 23:35,a72fed70-9c78-11f0-bf29-c3eb6dc5395b,3,사과선물,146,1659,220,4470,1,GooglePlay,2025-09-28,29700,3106
Order Complete (App),,ruby_6,110000,2025-09-30 23:30,1866e840-7113-11f0-a2a7-91b28ed640aa,56,금재곱,916,2101330,1860,13920,1,GooglePlay,2025-08-04,3677300,18
Order Complete (App),,ruby_2,6600,2025-09-30 23:24,9a738f20-9da3-11f0-a148-95b69171de42,1,맥달,152,513443,660,6060,1,GooglePlay,2025-09-30,190300,3039
Order Complete (App),,ruby_3,11000,2025-09-30 23:23,a72fed70-9c78-11f0-bf29-c3eb6dc5395b,3,사과선물,144,28284,2200,4410,1,GooglePlay,2025-09-28,29700,3106
Order Complete (App),,ruby_3,11000,2025-09-30 23:22,a72fed70-9c78-11f0-bf29-c3eb6dc5395b,3,사과선물,144,28284,0,4410,1,GooglePlay,2025-09-28,7700,3106
Order Complete (App),,ruby_3,11000,2025-09-30 23:20,0a941c50-9379-11f0-b658-6bbbc27036f3,14,염동동,354,2517,0,7790,1,GooglePlay,2025-09-17,143000,1689
Order Complete (App),,ruby_3,11000,2025-09-30 23:18,3d5ac710-9707-11f0-8fc9-9783f0da5eae,9,핫봉이,91,210624,0,2470,1,GooglePlay,2025-09-21,0,3444
Order Complete (App),,ruby_4,33000,2025-09-30 23:17,2f0a2310-9ce6-11f0-912e-d38bd32a39ca,2,불꽃카리나,189,37098,0,940,1,GooglePlay,2025-09-29,163900,2872
Order Complete (App),,ruby_6,110000,2025-09-30 23:14,1c4afc30-9df5-11f0-a036-ff7b29da04fa,1,88렉카,146,105814,440,1950,1,GooglePlay,2025-09-30,117700,3109
